date;Germany;Iran;Italy
2020-05-15;173152;116635;223885
2020-05-16;173772;118392;224760
2020-05-17;174355;120198;225435
2020-05-18;174697;122492;225886
2020-05-19;175210;124603;226699
2020-05-20;176007;126949;227364
2020-05-21;176752;129341;228006
2020-05-22;177212;131652;228658
2020-05-23;177850;133521;229327
2020-05-24;178281;135701;229858
2020-05-25;178570;137724;230158
2020-05-26;179002;139511;230555
2020-05-27;179364;141591;231139
2020-05-28;179717;143849;231732
2020-05-29;180458;146668;232248
2020-05-30;181196;148950;232664
2020-05-31;181482;151466;232997
2020-06-01;181815;154445;233197
2020-06-02;182028;157562;233515
2020-06-03;182370;160696;233836
2020-06-04;182764;164270;234013
2020-06-05;183271;167156;234531
2020-06-06;183678;169425;234801
2020-06-07;183979;171789;234998
2020-06-08;184193;173832;235278
2020-06-09;184543;175927;235561
2020-06-10;184861;177938;235763
2020-06-11;185416;180156;236142
2020-06-12;185674;182525;236305
2020-06-13;186022;184955;236651
2020-06-14;186269;187427;236989
2020-06-15;186461;189876;237290
2020-06-16;186839;192439;237500
2020-06-17;187184;195051;237828
2020-06-18;187764;197647;238159
2020-06-19;188534;200262;238011
2020-06-20;189135;202584;238275
2020-06-21;189822;204952;238499
2020-06-22;190359;207525;238720
2020-06-23;190862;209970;238833
2020-06-24;191449;212501;239410
2020-06-25;192079;215096;239706
2020-06-26;192556;217724;239961
2020-06-27;193243;220180;240136
2020-06-28;193499;222669;240310
2020-06-29;193761;225205;240436
2020-06-30;194259;227662;240578
2020-07-01;194725;230211;240760
2020-07-02;195228;232863;240961
2020-07-03;195674;235429;241184
2020-07-04;196096;237878;241419
2020-07-05;196335;240438;241611
2020-07-06;196554;243051;241819
2020-07-07;196944;245688;241956
2020-07-08;197341;248379;242149
2020-07-09;197783;250458;242363
2020-07-10;198178;252720;242639
2020-07-11;198556;255117;242827
2020-07-12;198804;257303;243061
2020-07-13;198963;259652;243230
2020-07-14;199375;262173;243344
2020-07-15;199726;264561;243506
2020-07-16;200260;267061;243736
2020-07-17;200843;269440;243967
2020-07-18;201372;271606;244216
2020-07-19;201574;273788;244434
2020-07-20;201823;276202;244624
2020-07-21;202345;278827;244752
2020-07-22;202799;281413;245032
2020-07-23;203368;284034;245338
2020-07-24;204183;286523;245590
2020-07-25;204964;288839;245864
2020-07-26;205269;291172;246118
2020-07-27;205609;293606;246286
2020-07-28;206242;296273;246488
2020-07-29;206926;298909;246776
2020-07-30;207828;301530;247158
2020-07-31;208698;304204;247537
2020-08-01;209653;306752;247832
2020-08-02;209893;309437;248070
2020-08-03;210402;312035;248229
2020-08-04;211281;314786;248419
2020-08-05;212022;317483;248803
2020-08-06;213067;320117;249204
2020-08-07;214214;322567;249756
2020-08-08;215336;324692;250103
2020-08-09;215891;326712;250566
2020-08-10;216327;328844;250825
2020-08-11;217293;331189;251237
2020-08-12;218519;333699;251713
2020-08-13;219964;336324;252235
2020-08-14;221413;338825;252809
