date;Germany;Iran;Italy
2022-03-21;18772331;7142287;13895188
2022-03-22;18994411;7143409;13992092
2022-03-23;19278143;7144532;14070450
2022-03-24;19596530;7145877;14153098
2022-03-25;19893028;7147407;14229495
2022-03-26;20145054;7148789;14304111
2022-03-27;20256278;7151088;14364723
2022-03-28;20323779;7154003;14396283
2022-03-29;20561131;7156746;14496579
2022-03-30;20829608;7159733;14567990
2022-03-31;21357095;7162220;14642354
2022-04-01;21357039;7164484;14719394
2022-04-02;21553495;7166371;14790806
2022-04-03;21668677;7167646;14845815
2022-04-04;21668677;7171165;14877144
2022-04-05;21849074;7175780;14966058
2022-04-06;22265788;7180008;15035943
2022-04-07;22441051;7183808;15106066
2022-04-08;22591726;7186992;15173707
2022-04-09;22647197;7188749;15238128
2022-04-10;22677986;7191643;15292048
2022-04-11;22878428;7194768;15320753
2022-04-12;23017079;7197505;15404809
2022-04-13;23182447;7199861;15467395
2022-04-14;23339311;7202055;15533012
2022-04-15;23376879;7204049;15595302
2022-04-16;23416663;7205064;15659835
2022-04-17;23437145;7206959;15712088
2022-04-18;23459628;7208968;15730676
2022-04-19;23658211;7210788;15758002
2022-04-20;23844536;7212395;15858442
2022-04-21;24006254;7213808;15934437
2022-04-22;24141333;7214904;16008181
2022-04-23;24180512;7215512;16079209
2022-04-24;24200596;7216040;16136057
2022-04-25;24337394;7217117;16161339
2022-04-26;24337394;7218424;16191323
2022-04-27;24609159;7219433;16279754
2022-04-28;24710769;7220402;16349788
2022-04-29;24798067;7221121;16409183
2022-04-30;24809785;7221653;16463200
2022-05-01;24813817;7222308;16504791
2022-05-02;24927339;7223005;16523859
2022-05-03;25033970;7223576;16586268
2022-05-04;25130137;7223828;16633911
2022-05-05;25215210;7224056;16682626
2022-05-06;25287462;7224431;16726990
2022-05-07;25295950;7224701;16767773
2022-05-08;25299300;7225189;16798998
2022-05-09;25406868;7225759;16816419
2022-05-10;25503878;7226219;16872618
2022-05-11;25592839;7226672;16915301
2022-05-12;25661838;7227043;16954784
2022-05-13;25723697;7227428;16993813
2022-05-14;25729848;7227683;17030147
